@relation 'yelp-weka.filters.unsupervised.attribute.StringToWordVector-R1-W2000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"'

@attribute id numeric
@attribute sentiment** {positive,negative,neutral}

@data
{0 22359,1 ?}
{0 7645,1 ?}
{0 39221,1 ?}
{0 23393,1 ?}
{0 32049,1 ?}
{0 58379,1 ?}
{0 39815,1 ?}
{0 37050,1 ?}
{0 21453,1 ?}
{0 9102,1 ?}
{0 33599,1 ?}
{0 48702,1 ?}
{0 31332,1 ?}
{0 57699,1 ?}
{0 62714,1 ?}
{0 39661,1 ?}
{0 64030,1 ?}
{0 5169,1 ?}
{0 66860,1 ?}
{0 24360,1 ?}
{0 21042,1 ?}
{0 50221,1 ?}
{0 65428,1 ?}
{0 38728,1 ?}
{0 44545,1 ?}
{0 5742,1 ?}
{0 35776,1 ?}
{0 49902,1 ?}
{0 8687,1 ?}
{0 71555,1 ?}
{0 30109,1 ?}
{0 52443,1 ?}
{0 33494,1 ?}
{0 63584,1 ?}
{0 51864,1 ?}
{0 41809,1 ?}
{0 8960,1 ?}
{0 41272,1 ?}
{0 62631,1 ?}
{0 6569,1 ?}
{0 69739,1 ?}
{0 7959,1 ?}
{0 53735,1 ?}
{0 15877,1 ?}
{0 57962,1 ?}
{0 20563,1 ?}
{0 43186,1 ?}
{0 48311,1 ?}
{0 35151,1 ?}
{0 35978,1 ?}
{0 29442,1 ?}
{0 12730,1 ?}
{0 50178,1 ?}
{0 72051,1 ?}
{0 9700,1 ?}
{0 47447,1 ?}
{0 27063,1 ?}
{0 55611,1 ?}
{0 19944,1 ?}
{0 51397,1 ?}
{0 31657,1 ?}
{0 62442,1 ?}
{0 42193,1 ?}
{0 61428,1 ?}
{0 10946,1 ?}
{0 6787,1 ?}
{0 11923,1 ?}
{0 37832,1 ?}
{0 4379,1 ?}
{0 65242,1 ?}
{0 18435,1 ?}
{0 53141,1 ?}
{0 61278,1 ?}
{0 68448,1 ?}
{0 30066,1 ?}
{0 52823,1 ?}
{0 9909,1 ?}
{0 29318,1 ?}
{0 67065,1 ?}
{0 41441,1 ?}
{0 9194,1 ?}
{0 56733,1 ?}
{0 12227,1 ?}
{0 52440,1 ?}
{0 48125,1 ?}
{0 27787,1 ?}
{0 25778,1 ?}
{0 24291,1 ?}
{0 62946,1 ?}
{0 68554,1 ?}
{0 58213,1 ?}
{0 31328,1 ?}
{0 39837,1 ?}
{0 43248,1 ?}
{0 2503,1 ?}
{0 4476,1 ?}
{0 31796,1 ?}
{0 47497,1 ?}
{0 7660,1 ?}
{0 18377,1 ?}
{0 39206,1 ?}
{0 59515,1 ?}
{0 66279,1 ?}
{0 44229,1 ?}
{0 59837,1 ?}
{0 23599,1 ?}
{0 31588,1 ?}
{0 68024,1 ?}
{0 54375,1 ?}
{0 36490,1 ?}
{0 13204,1 ?}
{0 15392,1 ?}
{0 56870,1 ?}
{0 50872,1 ?}
{0 8589,1 ?}
{0 8694,1 ?}
{0 8920,1 ?}
{0 35352,1 ?}
{0 71940,1 ?}
{0 54998,1 ?}
{0 32701,1 ?}
{0 62146,1 ?}
{0 60029,1 ?}
{0 19743,1 ?}
{0 6611,1 ?}
{0 31280,1 ?}
{0 53838,1 ?}
{0 39646,1 ?}
{0 20287,1 ?}
{0 53393,1 ?}
{0 33424,1 ?}
{0 17630,1 ?}
{0 636,1 ?}
{0 1806,1 ?}
{0 33437,1 ?}
{0 43006,1 ?}
{0 12531,1 ?}
{0 43699,1 ?}
{0 50728,1 ?}
{0 12303,1 ?}
{0 65315,1 ?}
{0 28841,1 ?}
{0 63518,1 ?}
{0 65253,1 ?}
{0 19760,1 ?}
{0 63280,1 ?}
{0 22882,1 ?}
{0 60598,1 ?}
{0 33397,1 ?}
{0 13787,1 ?}
{0 37886,1 ?}
{0 928,1 ?}
{0 56024,1 ?}
{0 70288,1 ?}
{0 49853,1 ?}
{0 12041,1 ?}
{0 50095,1 ?}
{0 51884,1 ?}
{0 57730,1 ?}
{0 63048,1 ?}
{0 28709,1 ?}
{0 6279,1 ?}
{0 35468,1 ?}
{0 62848,1 ?}
{0 9058,1 ?}
{0 66601,1 ?}
{0 35797,1 ?}
{0 15604,1 ?}
{0 28397,1 ?}
{0 54511,1 ?}
{0 9594,1 ?}
{0 7013,1 ?}
{0 8688,1 ?}
{0 48272,1 ?}
{0 11067,1 ?}
{0 7647,1 ?}
{0 32493,1 ?}
{0 6043,1 ?}
{0 2855,1 ?}
{0 36926,1 ?}
{0 49491,1 ?}
{0 26288,1 ?}
{0 34198,1 ?}
{0 40433,1 ?}
{0 39508,1 ?}
{0 22502,1 ?}
{0 46114,1 ?}
{0 68833,1 ?}
{0 9686,1 ?}
{0 1919,1 ?}
{0 33910,1 ?}
{0 72375,1 ?}
{0 58939,1 ?}
{0 45124,1 ?}
{0 61740,1 ?}
{0 41659,1 ?}
{0 54161,1 ?}
{0 41774,1 ?}
{0 1609,1 ?}
{0 72163,1 ?}
{0 20453,1 ?}
{0 46548,1 ?}
{0 30595,1 ?}
{0 812,1 ?}
{0 1506,1 ?}
{0 38665,1 ?}
{0 64513,1 ?}
{0 25903,1 ?}
{0 46761,1 ?}
{0 39096,1 ?}
{0 66121,1 ?}
{0 71376,1 ?}
{0 8530,1 ?}
{0 4397,1 ?}
{0 64615,1 ?}
{0 4270,1 ?}
{0 35943,1 ?}
{0 48691,1 ?}
{0 5069,1 ?}
{0 36836,1 ?}
{0 30081,1 ?}
{0 55073,1 ?}
{0 68903,1 ?}
{0 10987,1 ?}
{0 33520,1 ?}
{0 10328,1 ?}
{0 63068,1 ?}
{0 57729,1 ?}
{0 42767,1 ?}
{0 28156,1 ?}
{0 19013,1 ?}
{0 71328,1 ?}
{0 56532,1 ?}
{0 51946,1 ?}
{0 35819,1 ?}
{0 65179,1 ?}
{0 53362,1 ?}
{0 11605,1 ?}
{0 30398,1 ?}
{0 15628,1 ?}
{0 25253,1 ?}
{0 27009,1 ?}
{0 31936,1 ?}
{0 29556,1 ?}
{0 3503,1 ?}
{0 62935,1 ?}
{0 32589,1 ?}
{0 48910,1 ?}
{0 38565,1 ?}
{0 59115,1 ?}
{0 49145,1 ?}
{0 6893,1 ?}
{0 14076,1 ?}
{0 35820,1 ?}
{0 43700,1 ?}
{0 13754,1 ?}
{0 71465,1 ?}
{0 43916,1 ?}
{0 18587,1 ?}
{0 13369,1 ?}
{0 48449,1 ?}
{0 63310,1 ?}
{0 41900,1 ?}
{0 20568,1 ?}
{0 60338,1 ?}
{0 23338,1 ?}
{0 53807,1 ?}
{0 69909,1 ?}
{0 20815,1 ?}
{0 36615,1 ?}
{0 61175,1 ?}
{0 58664,1 ?}
{0 71084,1 ?}
{0 31424,1 ?}
{0 45748,1 ?}
{0 37545,1 ?}
{0 52083,1 ?}
{0 14571,1 ?}
{0 62309,1 ?}
{0 37351,1 ?}
{0 64685,1 ?}
{0 8128,1 ?}
{0 29725,1 ?}
{0 5007,1 ?}
{0 37021,1 ?}
{0 31982,1 ?}
{0 48255,1 ?}
{0 57165,1 ?}
{0 59724,1 ?}
{0 25744,1 ?}
{0 69779,1 ?}
{0 10963,1 ?}
{0 71652,1 ?}
{0 49084,1 ?}
{0 33834,1 ?}
{0 42569,1 ?}
{0 31747,1 ?}
{0 11392,1 ?}
{0 38528,1 ?}
{0 37006,1 ?}
{0 43646,1 ?}
{0 437,1 ?}
{0 26422,1 ?}
{0 60494,1 ?}
{0 46279,1 ?}
{0 29120,1 ?}
{0 70053,1 ?}
{0 13513,1 ?}
{0 11174,1 ?}
{0 18496,1 ?}
{0 26543,1 ?}
{0 65154,1 ?}
{0 25335,1 ?}
{0 1285,1 ?}
{0 55226,1 ?}
{0 69766,1 ?}
{0 33458,1 ?}
{0 65415,1 ?}
{0 10462,1 ?}
{0 60063,1 ?}
{0 68502,1 ?}
{0 39434,1 ?}
{0 15450,1 ?}
{0 50058,1 ?}
{0 32096,1 ?}
{0 33075,1 ?}
{0 72382,1 ?}
{0 66042,1 ?}
{0 9898,1 ?}
{0 54400,1 ?}
{0 30555,1 ?}
{0 42070,1 ?}
{0 45519,1 ?}
{0 9974,1 ?}
{0 43928,1 ?}
{0 50855,1 ?}
{0 20477,1 ?}
{0 47128,1 ?}
{0 26494,1 ?}
{0 40693,1 ?}
{0 431,1 ?}
{0 62188,1 ?}
{0 67910,1 ?}
{0 10424,1 ?}
{0 19730,1 ?}
{0 46105,1 ?}
{0 43217,1 ?}
{0 15724,1 ?}
{0 42295,1 ?}
{0 57140,1 ?}
{0 12509,1 ?}
{0 51508,1 ?}
{0 61945,1 ?}
{0 28365,1 ?}
{0 33511,1 ?}
{0 53965,1 ?}
{0 45996,1 ?}
{0 67597,1 ?}
{0 65752,1 ?}
{0 44981,1 ?}
{0 8312,1 ?}
{0 50220,1 ?}
{0 52808,1 ?}
{0 68976,1 ?}
{0 61491,1 ?}
{0 467,1 ?}
{0 10680,1 ?}
{0 46374,1 ?}
{0 65564,1 ?}
{0 8773,1 ?}
{0 65418,1 ?}
{0 25910,1 ?}
{0 47440,1 ?}
{0 72330,1 ?}
{0 47736,1 ?}
{0 35425,1 ?}
{0 10085,1 ?}
{0 31909,1 ?}
{0 70380,1 ?}
{0 50423,1 ?}
{0 20972,1 ?}
{0 25285,1 ?}
{0 12222,1 ?}
{0 33392,1 ?}
{0 35,1 ?}
{0 71776,1 ?}
{0 4456,1 ?}
{0 48191,1 ?}
{0 67475,1 ?}
{0 49941,1 ?}
{0 52800,1 ?}
{0 18387,1 ?}
{0 26908,1 ?}
{0 29338,1 ?}
{0 59552,1 ?}
{0 15458,1 ?}
{0 32697,1 ?}
{0 10036,1 ?}
{0 27711,1 ?}
{0 4649,1 ?}
{0 62680,1 ?}
{0 72121,1 ?}
{0 61544,1 ?}
{0 7196,1 ?}
{0 58502,1 ?}
{0 59269,1 ?}
{0 40339,1 ?}
{0 35765,1 ?}
{0 46968,1 ?}
{0 49268,1 ?}
{0 13437,1 ?}
{0 52580,1 ?}
{0 39878,1 ?}
{0 52093,1 ?}
{0 53900,1 ?}
{0 71277,1 ?}
{0 6797,1 ?}
{0 67141,1 ?}
{0 66196,1 ?}
{0 20282,1 ?}
{0 58030,1 ?}
{0 2644,1 ?}
{0 59933,1 ?}
{0 10965,1 ?}
{0 60624,1 ?}
{0 56398,1 ?}
{0 39562,1 ?}
{0 36800,1 ?}
{0 48585,1 ?}
{0 41137,1 ?}
{0 6112,1 ?}
{0 58782,1 ?}
{0 67123,1 ?}
{0 14125,1 ?}
{0 5000,1 ?}
{0 49990,1 ?}
{0 5167,1 ?}
{0 41743,1 ?}
{0 33564,1 ?}
{0 60133,1 ?}
{0 69588,1 ?}
{0 67522,1 ?}
{0 49980,1 ?}
{0 14778,1 ?}
{0 36135,1 ?}
{0 37768,1 ?}
{0 10836,1 ?}
{0 72109,1 ?}
{0 30407,1 ?}
{0 36937,1 ?}
{0 21344,1 ?}
{0 63931,1 ?}
{0 51697,1 ?}
{0 9810,1 ?}
{0 31179,1 ?}
{0 71226,1 ?}
{0 58471,1 ?}
{0 35807,1 ?}
{0 61395,1 ?}
{0 72355,1 ?}
{0 41330,1 ?}
{0 8065,1 ?}
{0 34999,1 ?}
{0 25405,1 ?}
{0 1427,1 ?}
{0 53984,1 ?}
{0 64078,1 ?}
{0 39552,1 ?}
{0 37227,1 ?}
{0 63962,1 ?}
{0 21879,1 ?}
{0 29523,1 ?}
{0 8620,1 ?}
{0 22934,1 ?}
{0 27918,1 ?}
{0 46687,1 ?}
{0 25851,1 ?}
{0 38650,1 ?}
{0 61239,1 ?}
{0 39500,1 ?}
{0 54130,1 ?}
{0 45400,1 ?}
{0 11643,1 ?}
{0 67802,1 ?}
{0 53374,1 ?}
{0 42213,1 ?}
{0 8138,1 ?}
{0 66235,1 ?}
{0 37033,1 ?}
{0 22396,1 ?}
{0 20401,1 ?}
{0 11318,1 ?}
{0 42540,1 ?}
{0 33058,1 ?}
{0 30768,1 ?}
{0 37372,1 ?}
{0 36322,1 ?}
{0 58484,1 ?}
{0 60390,1 ?}
{0 41540,1 ?}
{0 10164,1 ?}
{0 31241,1 ?}
{0 56551,1 ?}
{0 33867,1 ?}
{0 32908,1 ?}
{0 55394,1 ?}
{0 13813,1 ?}
{0 51852,1 ?}
{0 8994,1 ?}
{0 32013,1 ?}
{0 10721,1 ?}
{0 9009,1 ?}
{0 9630,1 ?}
{0 45141,1 ?}
{0 11468,1 ?}
{0 52908,1 ?}
{0 8727,1 ?}
{0 29087,1 ?}
{0 70290,1 ?}
{0 41411,1 ?}
{0 5499,1 ?}
{0 66771,1 ?}
{0 44008,1 ?}
{0 60187,1 ?}
{0 8957,1 ?}
{0 55349,1 ?}
{0 51904,1 ?}
{0 69666,1 ?}
{0 72142,1 ?}
{0 49125,1 ?}
{0 54114,1 ?}
{0 54075,1 ?}
{0 10773,1 ?}
{0 56045,1 ?}
{0 63477,1 ?}
{0 60101,1 ?}
{0 61517,1 ?}
{0 33755,1 ?}
{0 28533,1 ?}
{0 32734,1 ?}
{0 29273,1 ?}
{0 58222,1 ?}
{0 57713,1 ?}
{0 7324,1 ?}
{0 29357,1 ?}
{0 31599,1 ?}
{0 25985,1 ?}
{0 61046,1 ?}
{0 17382,1 ?}
{0 64636,1 ?}
{0 67204,1 ?}
{0 61362,1 ?}
{0 40029,1 ?}
{0 50355,1 ?}
{0 20501,1 ?}
{0 18782,1 ?}
{0 43566,1 ?}
{0 69381,1 ?}
{0 58193,1 ?}
{0 12035,1 ?}
{0 10594,1 ?}
{0 21270,1 ?}
{0 70665,1 ?}
{0 13814,1 ?}
{0 59575,1 ?}
{0 50682,1 ?}
{0 9872,1 ?}
{0 44205,1 ?}
{0 26,1 ?}
{0 40388,1 ?}
{0 17660,1 ?}
{0 10035,1 ?}
{0 54043,1 ?}
{0 1325,1 ?}
{0 28155,1 ?}
{0 48088,1 ?}
{0 60154,1 ?}
{0 26695,1 ?}
{0 60698,1 ?}
{0 45500,1 ?}
{0 22452,1 ?}
{0 43030,1 ?}
{0 48467,1 ?}
{0 41506,1 ?}
{0 7692,1 ?}
{0 27637,1 ?}
{0 59584,1 ?}
{0 43389,1 ?}
{0 9083,1 ?}
{0 51930,1 ?}
{0 60968,1 ?}
{0 24093,1 ?}
{0 9925,1 ?}
{0 40287,1 ?}
{0 16517,1 ?}
{0 68167,1 ?}
{0 28547,1 ?}
{0 71343,1 ?}
{0 44183,1 ?}
{0 64042,1 ?}
{0 10070,1 ?}
{0 43948,1 ?}
{0 52556,1 ?}
{0 63134,1 ?}
{0 54618,1 ?}
{0 60264,1 ?}
{0 63948,1 ?}
{0 57916,1 ?}
{0 1421,1 ?}
{0 36804,1 ?}
{0 18303,1 ?}
{0 39175,1 ?}
{0 64700,1 ?}
{0 25610,1 ?}
{0 60988,1 ?}
{0 71284,1 ?}
{0 11523,1 ?}
{0 32920,1 ?}
{0 9174,1 ?}
{0 6878,1 ?}
{0 760,1 ?}
{0 25817,1 ?}
{0 41578,1 ?}
{0 45001,1 ?}
{0 5077,1 ?}
{0 15899,1 ?}
{0 66949,1 ?}
{0 9008,1 ?}
{0 42483,1 ?}
{0 9801,1 ?}
{0 43798,1 ?}
{0 38529,1 ?}
{0 64858,1 ?}
{0 70382,1 ?}
{0 32547,1 ?}
{0 34758,1 ?}
{0 58093,1 ?}
{0 3960,1 ?}
{0 52206,1 ?}
{0 48041,1 ?}
{0 39856,1 ?}
{0 63913,1 ?}
{0 48450,1 ?}
{0 30458,1 ?}
{0 23151,1 ?}
{0 46567,1 ?}
{0 26797,1 ?}
{0 24754,1 ?}
{0 65174,1 ?}
{0 32107,1 ?}
{0 8932,1 ?}
{0 13445,1 ?}
{0 33443,1 ?}
{0 28069,1 ?}
{0 54864,1 ?}
{0 38546,1 ?}
{0 44045,1 ?}
{0 69065,1 ?}
{0 23821,1 ?}
{0 3772,1 ?}
{0 8102,1 ?}
{0 25349,1 ?}
{0 38170,1 ?}
{0 8806,1 ?}
{0 18709,1 ?}
{0 43662,1 ?}
{0 17664,1 ?}
{0 48180,1 ?}
{0 11950,1 ?}
{0 58649,1 ?}
{0 28505,1 ?}
{0 19394,1 ?}
{0 35366,1 ?}
{0 63248,1 ?}
{0 58918,1 ?}
{0 40766,1 ?}
{0 28643,1 ?}
{0 41698,1 ?}
{0 51552,1 ?}
{0 8469,1 ?}
{0 28633,1 ?}
{0 50862,1 ?}
{0 13821,1 ?}
{0 54207,1 ?}
{0 61761,1 ?}
{0 36247,1 ?}
{0 2439,1 ?}
{0 25731,1 ?}
{0 12997,1 ?}
{0 36353,1 ?}
{0 34888,1 ?}
{0 1047,1 ?}
{0 24564,1 ?}
{0 12351,1 ?}
{0 67015,1 ?}
{0 34924,1 ?}
{0 6768,1 ?}
{0 1277,1 ?}
{0 68313,1 ?}
{0 19387,1 ?}
{0 45615,1 ?}
{0 49860,1 ?}
{0 66633,1 ?}
{0 9654,1 ?}
{0 61698,1 ?}
{0 63049,1 ?}
{0 52160,1 ?}
{0 63445,1 ?}
{0 59819,1 ?}
{0 64974,1 ?}
{0 51639,1 ?}
{0 48285,1 ?}
{0 38887,1 ?}
{0 49566,1 ?}
{0 10922,1 ?}
{0 41233,1 ?}
{0 54278,1 ?}
{0 70147,1 ?}
{0 15453,1 ?}
{0 24781,1 ?}
{0 15915,1 ?}
{0 20901,1 ?}
{0 63241,1 ?}
{0 34793,1 ?}
{0 26697,1 ?}
{0 53763,1 ?}
{0 53790,1 ?}
{0 34779,1 ?}
{0 24679,1 ?}
{0 37196,1 ?}
{0 45299,1 ?}
{0 48386,1 ?}
{0 14837,1 ?}
{0 34257,1 ?}
{0 10956,1 ?}
{0 35975,1 ?}
{0 19576,1 ?}
{0 47061,1 ?}
{0 45760,1 ?}
{0 56150,1 ?}
{0 61784,1 ?}
{0 12328,1 ?}
{0 49523,1 ?}
{0 4464,1 ?}
{0 62472,1 ?}
{0 39050,1 ?}
{0 2044,1 ?}
{0 49547,1 ?}
{0 48152,1 ?}
{0 6928,1 ?}
{0 4431,1 ?}
{0 22036,1 ?}
{0 59352,1 ?}
{0 45974,1 ?}
{0 46827,1 ?}
{0 23700,1 ?}
{0 20940,1 ?}
{0 8496,1 ?}
{0 60117,1 ?}
{0 10232,1 ?}
{0 32371,1 ?}
{0 27988,1 ?}
{0 59766,1 ?}
{0 24276,1 ?}
{0 11657,1 ?}
{0 47056,1 ?}
{0 15824,1 ?}
{0 9684,1 ?}
{0 59310,1 ?}
{0 57840,1 ?}
{0 52485,1 ?}
{0 60906,1 ?}
{0 47532,1 ?}
{0 4915,1 ?}
{0 8525,1 ?}
{0 28250,1 ?}
{0 36142,1 ?}
{0 37262,1 ?}
{0 42323,1 ?}
{0 30360,1 ?}
{0 54562,1 ?}
{0 19040,1 ?}
{0 33302,1 ?}
{0 7794,1 ?}
{0 48493,1 ?}
{0 71543,1 ?}
{0 21596,1 ?}
{0 41133,1 ?}
{0 38475,1 ?}
{0 29150,1 ?}
{0 26816,1 ?}
{0 36907,1 ?}
{0 47210,1 ?}
{0 65488,1 ?}
{0 51636,1 ?}
{0 52053,1 ?}
{0 29062,1 ?}
{0 37937,1 ?}
{0 40555,1 ?}
{0 23397,1 ?}
{0 35637,1 ?}
{0 43127,1 ?}
{0 44946,1 ?}
{0 70806,1 ?}
{0 37265,1 ?}
{0 34061,1 ?}
{0 3629,1 ?}
{0 35790,1 ?}
{0 7488,1 ?}
{0 34348,1 ?}
{0 71154,1 ?}
{0 5989,1 ?}
{0 28497,1 ?}
{0 59912,1 ?}
{0 17451,1 ?}
{0 62893,1 ?}
{0 36656,1 ?}
{0 40253,1 ?}
{0 19768,1 ?}
{0 34681,1 ?}
{0 20444,1 ?}
{0 10945,1 ?}
{0 49810,1 ?}
{0 10383,1 ?}
{0 60509,1 ?}
{0 63475,1 ?}
{0 52473,1 ?}
{0 228,1 ?}
{0 62789,1 ?}
{0 28116,1 ?}
{0 22816,1 ?}
{0 37692,1 ?}
{0 43999,1 ?}
{0 9759,1 ?}
{0 29263,1 ?}
{0 33303,1 ?}
{0 29886,1 ?}
{0 55658,1 ?}
{0 39112,1 ?}
{0 15917,1 ?}
{0 23716,1 ?}
{0 67710,1 ?}
{0 58236,1 ?}
{0 53919,1 ?}
{0 38303,1 ?}
{0 67792,1 ?}
{0 67055,1 ?}
{0 8003,1 ?}
{0 26702,1 ?}
{0 58613,1 ?}
{0 60500,1 ?}
{0 3594,1 ?}
{0 41731,1 ?}
{0 11969,1 ?}
{0 33899,1 ?}
{0 61981,1 ?}
{0 31771,1 ?}
{0 4591,1 ?}
{0 51867,1 ?}
{0 1365,1 ?}
{0 39414,1 ?}
{0 31200,1 ?}
{0 10437,1 ?}
{0 63471,1 ?}
{0 43295,1 ?}
{0 19248,1 ?}
{0 19536,1 ?}
{0 12466,1 ?}
{0 13360,1 ?}
{0 37814,1 ?}
{0 46104,1 ?}
{0 35700,1 ?}
{0 64548,1 ?}
{0 51294,1 ?}
{0 60246,1 ?}
{0 6947,1 ?}
{0 42409,1 ?}
{0 31548,1 ?}
{0 44938,1 ?}
{0 10058,1 ?}
{0 53877,1 ?}
{0 47494,1 ?}
{0 11212,1 ?}
{0 36567,1 ?}
{0 55681,1 ?}
{0 41535,1 ?}
{0 4450,1 ?}
{0 57718,1 ?}
{0 21238,1 ?}
{0 21691,1 ?}
{0 40639,1 ?}
